Manager,Team,Nationality,Status
Arsene Wenger,Arsenal FC,France,Active
Eddie Howe,AFC Bournemouth,England,Active
Chris Hughton,Brighton & Hove Albion FC,Ireland,Active
Sean Dyche,Burnley FC,England,Active
Antonio Conte,Chelsea FC,Italy,Active
Frank de Boer,Crystal Palace FC,Netherland,Sacked
Roy Hodgson,Crystal Palace FC,England,Active
Ronald Koeman,Everton FC,Netherland,Sacked
Sam Allardyce,Everton FC,England,Active
David Wagner,Huddersfield Town AFC,USA,Active
Craig Shakespeare,Leicester City FC,England,Sacked
Claude Puel,Leicester City FC,France,Active
Jurgen Klopp,Liverpool FC,Germany,Active
Pep Guardiola,Manchester City FC,Spain,Active
Jose Mourinho,Manchester United FC,Portugal,Active
Rafael Benitez,Newcastle United FC,Spain,Active
Mauricio Pellegrino,Southampton FC,Argentina,Sacked
Mark Hughes,Southampton FC,Wales,Active
Mark Hughes,Stoke City FC,Wales,Sacked
Paul Lambert,Stoke City FC,Scotland,Active
Paul Clement,Swansea City AFC,England,Sacked
Carlos Carvalhal,Swansea City AFC,Portugal,Active
Mauricio Pochettino,Tottenham Hotspur FC,Argentina,Active
Marco Silva,Watford FC,Portugal,Sacked
Javi Gracia,Watford FC,Spain,Active
Darren Moore,West Bromwich Albion FC,Jamaica,Active
Alan Pardew,West Bromwich Albion FC,England,Sacked
Tony Pulis,West Bromwich Albion FC,Wales,Sacked
Slaven Bilic,West Ham United FC,Croatia,Sacked
David Moyes,West Ham United FC,Scotland,Active
