Match number,Match day,Date,Team 1,Team 2,Half time score team 1,Half time score team 2,Full time score team 1,Full time score team 2
1,1,2017-08-11,"Arsenal FC","Leicester City FC",2,2,4,3
2,1,2017-08-12,"Brighton & Hove Albion FC","Manchester City FC",0,0,0,2
3,1,2017-08-12,"Chelsea FC","Burnley FC",0,3,2,3
4,1,2017-08-12,"Crystal Palace FC","Huddersfield Town AFC",0,2,0,3
5,1,2017-08-12,"Everton FC","Stoke City FC",1,0,1,0
6,1,2017-08-12,"Southampton FC","Swansea City AFC",0,0,0,0
7,1,2017-08-12,"Watford FC","Liverpool FC",2,1,3,3
8,1,2017-08-12,"West Bromwich Albion FC","AFC Bournemouth",1,0,1,0
9,1,2017-08-13,"Manchester United FC","West Ham United FC",1,0,4,0
10,1,2017-08-13,"Newcastle United FC","Tottenham Hotspur FC",0,0,0,2
11,2,2017-08-19,"AFC Bournemouth","Watford FC",0,0,0,2
12,2,2017-08-19,"Burnley FC","West Bromwich Albion FC",0,0,0,1
13,2,2017-08-19,"Leicester City FC","Brighton & Hove Albion FC",1,0,2,0
14,2,2017-08-19,"Liverpool FC","Crystal Palace FC",0,0,1,0
15,2,2017-08-19,"Southampton FC","West Ham United FC",2,1,3,2
16,2,2017-08-19,"Stoke City FC","Arsenal FC",0,0,1,0
17,2,2017-08-19,"Swansea City AFC","Manchester United FC",0,1,0,4
18,2,2017-08-20,"Huddersfield Town AFC","Newcastle United FC",0,0,1,0
19,2,2017-08-20,"Tottenham Hotspur FC","Chelsea FC",0,1,1,2
20,2,2017-08-21,"Manchester City FC","Everton FC",0,1,1,1
21,3,2017-08-26,"AFC Bournemouth","Manchester City FC",1,1,1,2
22,3,2017-08-26,"Crystal Palace FC","Swansea City AFC",0,1,0,2
23,3,2017-08-26,"Huddersfield Town AFC","Southampton FC",0,0,0,0
24,3,2017-08-26,"Manchester United FC","Leicester City FC",0,0,2,0
25,3,2017-08-26,"Newcastle United FC","West Ham United FC",1,0,3,0
26,3,2017-08-26,"Watford FC","Brighton & Hove Albion FC",0,0,0,0
27,3,2017-08-27,"Chelsea FC","Everton FC",2,0,2,0
28,3,2017-08-27,"Liverpool FC","Arsenal FC",2,0,4,0
29,3,2017-08-27,"Tottenham Hotspur FC","Burnley FC",0,0,1,1
30,3,2017-08-27,"West Bromwich Albion FC","Stoke City FC",0,0,1,1
31,4,2017-09-09,"Arsenal FC","AFC Bournemouth",2,0,3,0
32,4,2017-09-09,"Brighton & Hove Albion FC","West Bromwich Albion FC",1,0,3,1
33,4,2017-09-09,"Everton FC","Tottenham Hotspur FC",0,2,0,3
34,4,2017-09-09,"Leicester City FC","Chelsea FC",0,1,1,2
35,4,2017-09-09,"Manchester City FC","Liverpool FC",2,0,5,0
36,4,2017-09-09,"Southampton FC","Watford FC",0,1,0,2
37,4,2017-09-09,"Stoke City FC","Manchester United FC",1,1,2,2
38,4,2017-09-10,"Burnley FC","Crystal Palace FC",1,0,1,0
39,4,2017-09-10,"Swansea City AFC","Newcastle United FC",0,0,0,1
40,4,2017-09-11,"West Ham United FC","Huddersfield Town AFC",0,0,2,0
41,5,2017-09-15,"AFC Bournemouth","Brighton & Hove Albion FC",0,0,2,1
42,5,2017-09-16,"Crystal Palace FC","Southampton FC",0,1,0,1
43,5,2017-09-16,"Huddersfield Town AFC","Leicester City FC",0,0,1,1
44,5,2017-09-16,"Liverpool FC","Burnley FC",1,1,1,1
45,5,2017-09-16,"Newcastle United FC","Stoke City FC",1,0,2,1
46,5,2017-09-16,"Tottenham Hotspur FC","Swansea City AFC",0,0,0,0
47,5,2017-09-16,"Watford FC","Manchester City FC",0,3,0,6
48,5,2017-09-16,"West Bromwich Albion FC","West Ham United FC",0,0,0,0
49,5,2017-09-17,"Chelsea FC","Arsenal FC",0,0,0,0
50,5,2017-09-17,"Manchester United FC","Everton FC",1,0,4,0
51,6,2017-09-23,"Burnley FC","Huddersfield Town AFC",0,0,0,0
52,6,2017-09-23,"Everton FC","AFC Bournemouth",0,0,2,1
53,6,2017-09-23,"Leicester City FC","Liverpool FC",1,2,2,3
54,6,2017-09-23,"Manchester City FC","Crystal Palace FC",1,0,5,0
55,6,2017-09-23,"Southampton FC","Manchester United FC",0,1,0,1
56,6,2017-09-23,"Stoke City FC","Chelsea FC",0,2,0,4
57,6,2017-09-23,"Swansea City AFC","Watford FC",0,1,1,2
58,6,2017-09-23,"West Ham United FC","Tottenham Hotspur FC",0,2,2,3
59,6,2017-09-24,"Brighton & Hove Albion FC","Newcastle United FC",0,0,1,0
60,6,2017-09-25,"Arsenal FC","West Bromwich Albion FC",1,0,2,0
61,7,2017-09-30,"AFC Bournemouth","Leicester City FC",0,0,0,0
62,7,2017-09-30,"Chelsea FC","Manchester City FC",0,0,0,1
63,7,2017-09-30,"Huddersfield Town AFC","Tottenham Hotspur FC",0,3,0,4
64,7,2017-09-30,"Manchester United FC","Crystal Palace FC",2,0,4,0
65,7,2017-09-30,"Stoke City FC","Southampton FC",1,0,2,1
66,7,2017-09-30,"West Bromwich Albion FC","Watford FC",2,1,2,2
67,7,2017-09-30,"West Ham United FC","Swansea City AFC",0,0,1,0
68,7,2017-10-01,"Arsenal FC","Brighton & Hove Albion FC",1,0,2,0
69,7,2017-10-01,"Everton FC","Burnley FC",0,1,0,1
70,7,2017-10-01,"Newcastle United FC","Liverpool FC",1,1,1,1
71,8,2017-10-14,"Burnley FC","West Ham United FC",0,1,1,1
72,8,2017-10-14,"Crystal Palace FC","Chelsea FC",2,1,2,1
73,8,2017-10-14,"Liverpool FC","Manchester United FC",0,0,0,0
74,8,2017-10-14,"Manchester City FC","Stoke City FC",3,1,7,2
75,8,2017-10-14,"Swansea City AFC","Huddersfield Town AFC",1,0,2,0
76,8,2017-10-14,"Tottenham Hotspur FC","AFC Bournemouth",0,0,1,0
77,8,2017-10-14,"Watford FC","Arsenal FC",0,1,2,1
78,8,2017-10-15,"Brighton & Hove Albion FC","Everton FC",0,0,1,1
79,8,2017-10-15,"Southampton FC","Newcastle United FC",0,1,2,2
80,8,2017-10-16,"Leicester City FC","West Bromwich Albion FC",0,0,1,1
81,9,2017-10-20,"West Ham United FC","Brighton & Hove Albion FC",0,2,0,3
82,9,2017-10-21,"Chelsea FC","Watford FC",1,1,4,2
83,9,2017-10-21,"Huddersfield Town AFC","Manchester United FC",2,0,2,1
84,9,2017-10-21,"Manchester City FC","Burnley FC",1,0,3,0
85,9,2017-10-21,"Newcastle United FC","Crystal Palace FC",0,0,1,0
86,9,2017-10-21,"Southampton FC","West Bromwich Albion FC",0,0,1,0
87,9,2017-10-21,"Stoke City FC","AFC Bournemouth",0,2,1,2
88,9,2017-10-21,"Swansea City AFC","Leicester City FC",0,1,1,2
89,9,2017-10-22,"Everton FC","Arsenal FC",1,1,2,5
90,9,2017-10-22,"Tottenham Hotspur FC","Liverpool FC",3,1,4,1
91,10,2017-10-28,"Arsenal FC","Swansea City AFC",0,1,2,1
92,10,2017-10-28,"AFC Bournemouth","Chelsea FC",0,0,0,1
93,10,2017-10-28,"Crystal Palace FC","West Ham United FC",0,2,2,2
94,10,2017-10-28,"Liverpool FC","Huddersfield Town AFC",0,0,3,0
95,10,2017-10-28,"Manchester United FC","Tottenham Hotspur FC",0,0,1,0
96,10,2017-10-28,"Watford FC","Stoke City FC",0,1,0,1
97,10,2017-10-28,"West Bromwich Albion FC","Manchester City FC",1,2,2,3
98,10,2017-10-29,"Brighton & Hove Albion FC","Southampton FC",0,1,1,1
99,10,2017-10-29,"Leicester City FC","Everton FC",2,0,2,0
100,10,2017-10-30,"Burnley FC","Newcastle United FC",0,0,1,0
101,11,2017-11-04,"Huddersfield Town AFC","West Bromwich Albion FC",1,0,1,0
102,11,2017-11-04,"Newcastle United FC","AFC Bournemouth",0,0,0,1
103,11,2017-11-04,"Southampton FC","Burnley FC",0,0,0,1
104,11,2017-11-04,"Stoke City FC","Leicester City FC",1,1,2,2
105,11,2017-11-04,"Swansea City AFC","Brighton & Hove Albion FC",0,1,0,1
106,11,2017-11-04,"West Ham United FC","Liverpool FC",0,2,1,4
107,11,2017-11-05,"Chelsea FC","Manchester United FC",0,0,1,0
108,11,2017-11-05,"Everton FC","Watford FC",0,0,3,2
